17037210,다만 악에서 구하소서,7,진부한 클리쉐를 한국판 느와르로 소화시킨 볼만했던 액션물 한마디로 재미짐,wmsh****
17037209,강철비2: 정상회담,10,1편보다도 더 재미있었어요.,jjsa****
17037208,반도,8,"기대 안 하고 본 영화인데, 그래서 그런지 생각보단 재밌었어요. 다만 스토리와 연기력 그리고 영상미는 괜찮았는데 연출이 너무 아쉬웠고, 억지로 껴 넣은 신파도 보는데 거슬렸어요.",tree****
17037207,반도,1,하..진짜 수준개떨어지네..,jinw****
17037206,반도,2,강동원잘생겼다그외 희대의망작,redi****
17037205,반도,5,"""JANE이 우릴 구하러 올거야""                                 연감독 노린건가... 무리수 같은데...",ktwa****
17037204,강철비2: 정상회담,2,영화 보면서 쓴다 진짜 개 노잼이다,wndn****
17037203,강철비2: 정상회담,10,,kwon****
17037202,다만 악에서 구하소서,8,액션신 리얼한 영상미 잘 그려낸듯개인적으론 황정민 배우 무거운 연기보단 베테랑이나신세계같은 가벼운듯한 액션이 더 잘 어울리는듯,kse1****
17037201,다만 악에서 구하소서,10,다시 보고 싶은 영화! 이정재 황정민 박정민의 연기력이 진심 최고였습니다,jihy****
17037200,다만 악에서 구하소서,8,배우들의 연기가 인상적이네요 볼만한 영화 입니다,pobi****
17037199,B급 며느리,2,완전 미친 며느리네요모르는 어른한테도 그렇게는 안 할 것같아요,smki****
17037198,다만 악에서 구하소서,8,오늘봤는데 나는 왜 자꾸 아저씨가 생각나는지 ㅎㅎㅎ잘 만든 영화입니다. 시간순삭영화~추천합니다,qorm****
17037197,소리꾼,2,"* 뻔한 내용~ 영화평 좀 성의있게 써라, 박푱시기는 밥은 먹고 다니냐?ㅋㅋㅋ",writ****
